"V1","V2","V3","V4","V5"
"-5","2011","Knoxville, TN, USA","-1","4"
"-7","2011","Knoxville, TN, USA","0","7"
"-5","2011","Knoxville, TN, USA","3","11"
"-2","2011","Knoxville, TN, USA","7","16"
"7","2011","Knoxville, TN, USA","13","19"
"-1","2011","Knoxville, TN, USA","7","14"
"1","2011","Knoxville, TN, USA","11","19"
"2","2011","Knoxville, TN, USA","13","23"
"12","2011","Knoxville, TN, USA","16","19"
"4","2011","Knoxville, TN, USA","11","18"
"6","2011","Knoxville, TN, USA","13","21"
"12","2011","Knoxville, TN, USA","17","22"
"4","2011","Knoxville, TN, USA","10","16"
"1","2011","Knoxville, TN, USA","8","16"
"8","2011","Knoxville, TN, USA","14","19"
"3","2011","Knoxville, TN, USA","12","19"
"0","2011","Knoxville, TN, USA","9","18"
"10","2011","Knoxville, TN, USA","14","19"
"8","2011","Knoxville, TN, USA","15","22"
"4","2011","Knoxville, TN, USA","9","15"
"1","2011","Knoxville, TN, USA","9","18"
"4","2011","Knoxville, TN, USA","13","21"
"8","2011","Knoxville, TN, USA","14","19"
"12","2011","Knoxville, TN, USA","14","17"
"1","2011","Knoxville, TN, USA","7","12"
"1","2011","Knoxville, TN, USA","6","11"
"3","2011","Knoxville, TN, USA","10","17"
"9","2011","Knoxville, TN, USA","13","16"
"3","2011","Knoxville, TN, USA","8","12"
"1","2011","Knoxville, TN, USA","6","9"
"2","2011","Knoxville, TN, USA","12","21"
"7","2011","Knoxville, TN, USA","14","22"
"9","2011","Knoxville, TN, USA","13","16"
"9","2011","Knoxville, TN, USA","13","16"
"6","2011","Knoxville, TN, USA","9","13"
"1","2011","Knoxville, TN, USA","12","23"
"12","2011","Knoxville, TN, USA","19","26"
"14","2011","Knoxville, TN, USA","18","23"
"11","2011","Knoxville, TN, USA","18","25"
"12","2011","Knoxville, TN, USA","19","25"
"13","2011","Knoxville, TN, USA","21","27"
"14","2011","Knoxville, TN, USA","18","22"
"6","2011","Knoxville, TN, USA","11","16"
"4","2011","Knoxville, TN, USA","8","12"
"8","2011","Knoxville, TN, USA","10","12"
"5","2011","Knoxville, TN, USA","8","10"
"3","2011","Knoxville, TN, USA","7","10"
"2","2011","Knoxville, TN, USA","10","18"
"5","2011","Knoxville, TN, USA","9","13"
"4","2011","Knoxville, TN, USA","6","6"
"1","2011","Knoxville, TN, USA","7","12"
"4","2011","Knoxville, TN, USA","12","18"
"3","2011","Knoxville, TN, USA","15","26"
"12","2011","Knoxville, TN, USA","19","26"
"6","2011","Knoxville, TN, USA","10","14"
"2","2011","Knoxville, TN, USA","13","23"
"9","2011","Knoxville, TN, USA","17","24"
"13","2011","Knoxville, TN, USA","20","27"
"18","2011","Knoxville, TN, USA","24","29"
"16","2011","Knoxville, TN, USA","23","31"
"18","2011","Knoxville, TN, USA","23","28"
"8","2011","Knoxville, TN, USA","13","18"
"4","2011","Knoxville, TN, USA","13","21"
"6","2011","Knoxville, TN, USA","15","24"
"9","2011","Knoxville, TN, USA","17","23"
"9","2011","Knoxville, TN, USA","13","17"
"4","2011","Knoxville, TN, USA","12","21"
"7","2011","Knoxville, TN, USA","17","26"
"18","2011","Knoxville, TN, USA","24","29"
"17","2011","Knoxville, TN, USA","21","26"
"12","2011","Knoxville, TN, USA","17","21"
"13","2011","Knoxville, TN, USA","20","27"
"14","2011","Knoxville, TN, USA","21","28"
"17","2011","Knoxville, TN, USA","23","29"
"14","2011","Knoxville, TN, USA","22","30"
"21","2011","Knoxville, TN, USA","24","28"
"18","2011","Knoxville, TN, USA","23","29"
"11","2011","Knoxville, TN, USA","15","19"
"9","2011","Knoxville, TN, USA","17","23"
"8","2011","Knoxville, TN, USA","17","27"
"14","2011","Knoxville, TN, USA","19","25"
"14","2011","Knoxville, TN, USA","21","27"
"9","2011","Knoxville, TN, USA","17","25"
"5","2011","Knoxville, TN, USA","10","14"
"3","2011","Knoxville, TN, USA","11","19"
"8","2011","Knoxville, TN, USA","14","21"
"7","2011","Knoxville, TN, USA","15","22"
"15","2011","Knoxville, TN, USA","22","28"
"15","2011","Knoxville, TN, USA","22","29"
"17","2011","Knoxville, TN, USA","23","30"
"17","2011","Knoxville, TN, USA","23","30"
"18","2011","Knoxville, TN, USA","24","31"
"17","2011","Knoxville, TN, USA","23","29"
"16","2011","Knoxville, TN, USA","21","25"
"13","2011","Knoxville, TN, USA","15","17"
"11","2011","Knoxville, TN, USA","14","17"
"8","2011","Knoxville, TN, USA","11","12"
"8","2011","Knoxville, TN, USA","12","15"
"12","2011","Knoxville, TN, USA","17","22"
"14","2011","Knoxville, TN, USA","19","24"
"14","2011","Knoxville, TN, USA","23","31"
"18","2011","Knoxville, TN, USA","26","33"
"17","2011","Knoxville, TN, USA","24","31"
"20","2011","Knoxville, TN, USA","26","32"
"17","2011","Knoxville, TN, USA","26","34"
"17","2011","Knoxville, TN, USA","22","27"
"17","2011","Knoxville, TN, USA","22","27"
"14","2011","Knoxville, TN, USA","22","30"
"17","2011","Knoxville, TN, USA","25","33"
"20","2011","Knoxville, TN, USA","27","34"
"21","2011","Knoxville, TN, USA","28","36"
"22","2011","Knoxville, TN, USA","29","35"
"21","2011","Knoxville, TN, USA","28","34"
"21","2011","Knoxville, TN, USA","27","33"
"18","2011","Knoxville, TN, USA","27","34"
"20","2011","Knoxville, TN, USA","28","36"
"19","2011","Knoxville, TN, USA","27","34"
"19","2011","Knoxville, TN, USA","27","34"
"21","2011","Knoxville, TN, USA","28","35"
"19","2011","Knoxville, TN, USA","27","35"
"17","2011","Knoxville, TN, USA","26","34"
"20","2011","Knoxville, TN, USA","28","35"
"21","2011","Knoxville, TN, USA","27","33"
"21","2011","Knoxville, TN, USA","26","32"
"16","2011","Knoxville, TN, USA","22","28"
"16","2011","Knoxville, TN, USA","22","27"
"17","2011","Knoxville, TN, USA","24","30"
"17","2011","Knoxville, TN, USA","23","29"
"19","2011","Knoxville, TN, USA","24","28"
"19","2011","Knoxville, TN, USA","24","29"
"20","2011","Knoxville, TN, USA","25","30"
"20","2011","Knoxville, TN, USA","27","33"
"20","2011","Knoxville, TN, USA","24","29"
"21","2011","Knoxville, TN, USA","25","29"
"21","2011","Knoxville, TN, USA","26","31"
"18","2011","Knoxville, TN, USA","24","29"
"20","2011","Knoxville, TN, USA","25","29"
"19","2011","Knoxville, TN, USA","26","32"
"21","2011","Knoxville, TN, USA","24","27"
"20","2011","Knoxville, TN, USA","26","31"
"18","2011","Knoxville, TN, USA","25","31"
"17","2011","Knoxville, TN, USA","25","33"
"18","2011","Knoxville, TN, USA","26","34"
"21","2011","Knoxville, TN, USA","28","34"
"21","2011","Knoxville, TN, USA","27","34"
"21","2011","Knoxville, TN, USA","27","32"
"21","2011","Knoxville, TN, USA","27","32"
"21","2011","Knoxville, TN, USA","27","33"
"21","2011","Knoxville, TN, USA","27","32"
"23","2011","Knoxville, TN, USA","28","33"
"23","2011","Knoxville, TN, USA","29","36"
"23","2011","Knoxville, TN, USA","29","36"
"22","2011","Knoxville, TN, USA","27","31"
"22","2011","Knoxville, TN, USA","28","34"
"23","2011","Knoxville, TN, USA","29","34"
"21","2011","Knoxville, TN, USA","24","28"
"20","2011","Knoxville, TN, USA","24","28"
"21","2011","Knoxville, TN, USA","26","31"
"23","2011","Knoxville, TN, USA","28","33"
"22","2011","Knoxville, TN, USA","28","33"
"24","2011","Knoxville, TN, USA","30","35"
"23","2011","Knoxville, TN, USA","27","30"
"23","2011","Knoxville, TN, USA","29","34"
"24","2011","Knoxville, TN, USA","30","36"
"23","2011","Knoxville, TN, USA","29","34"
"23","2011","Knoxville, TN, USA","28","33"
"23","2011","Knoxville, TN, USA","29","34"
"22","2011","Knoxville, TN, USA","29","36"
"22","2011","Knoxville, TN, USA","29","36"
"23","2011","Knoxville, TN, USA","29","34"
"24","2011","Knoxville, TN, USA","30","36"
"23","2011","Knoxville, TN, USA","29","34"
"23","2011","Knoxville, TN, USA","29","35"
"21","2011","Knoxville, TN, USA","29","36"
"19","2011","Knoxville, TN, USA","28","37"
"23","2011","Knoxville, TN, USA","29","34"
"23","2011","Knoxville, TN, USA","29","35"
"23","2011","Knoxville, TN, USA","27","31"
"22","2011","Knoxville, TN, USA","28","34"
"23","2011","Knoxville, TN, USA","29","35"
"22","2011","Knoxville, TN, USA","27","32"
"20","2011","Knoxville, TN, USA","27","33"
"22","2011","Knoxville, TN, USA","28","33"
"19","2011","Knoxville, TN, USA","27","34"
"19","2011","Knoxville, TN, USA","27","34"
"21","2011","Knoxville, TN, USA","27","32"
